"Subject","Old","New","Count"
"CN","超时重传机制","超时重传","3"
"CN","滑动窗口协议","滑动窗口","10"
"CN","可靠传输机制","可靠传输","3"
"CN","累积确认","累计确认","4"
"CN","慢开始算法","TCP慢开始","5"
"CN","奈氏准则","奈奎斯特定理","4"
"CN","全双工","全双工通信","2"
"CN","数据速率","数据传输速率","4"
"CN","以太网帧结构","以太网帧格式","4"
"CN","拥塞控制","TCP拥塞控制","6"
"CN","域名解析","DNS域名解析","4"
"CN","BGP协议","BGP","3"
"CN","C/S分工","C_S分工","1"
"CN","C/S模式对比","C_S模式对比","1"
"CN","C/S模型","C_S模型","2"
"CN","C/S模型特点","C_S模型特点","1"
"CN","C/S与P2P对比","C_S与P2P对比","1"
"CN","CSMA/CA","CSMA_CA","7"
"CN","CSMA/CA协议","CSMA_CA","2"
"CN","CSMA/CD","CSMA_CD","16"
"CN","CSMA/CD对比","CSMA_CD对比","1"
"CN","CSMA/CD机制","CSMA_CD机制","2"
"CN","CSMA/CD距离计算","CSMA_CD距离计算","1"
"CN","CSMA/CD协议","CSMA_CD","13"
"CN","DNS解析","DNS域名解析","3"
"CN","FTP协议","FTP","9"
"CN","HTTP/1.0","HTTP_1.0","1"
"CN","HTTP协议","HTTP","5"
"CN","ICMP协议","ICMP","4"
"CN","IP地址分类","IPv4地址分类","3"
"CN","IP协议","IP","4"
"CN","OSI模型","OSI参考模型","3"
"CN","OSPF协议","OSPF","9"
"CN","POP3协议","POP3","3"
"CN","PPP协议","PPP","5"
"CN","RIP协议","RIP","9"
"CN","RTS/CTS","RTS_CTS","1"
"CN","RTS/CTS机制","RTS_CTS机制","1"
"CN","RTS/CTS信道预约","RTS_CTS信道预约","1"
"CN","RTS/CTS预约信道","RTS_CTS预约信道","1"
"CN","SMTP协议","SMTP","5"
"CN","TCP/IP参考模型","TCP_IP参考模型","3"
"CN","TCP/IP模型","TCP_IP参考模型","2"
"CN","TCP/IP体系结构","TCP_IP参考模型","1"
"CN","TCP/IP协议栈","TCP_IP协议栈","1"
"CN","TCP/IP协议族","TCP_IP协议栈","1"
"CN","TCP/UDP应用","TCP_UDP应用","1"
"CN","TCP发送窗口","发送窗口","7"
"CN","TCPIP协议栈","TCP_IP协议栈","3"
"CN","UDP协议","UDP","4"
"CO","8b/10b编码","8b_10b编码","1"
"CO","磁盘I/O","磁盘I_O","1"
"CO","存储器映射I/O","存储器映射I_O","1"
"CO","存储周期","存取周期","7"
"CO","地址/数据线复用","地址_数据线复用","1"
"CO","流水线","指令流水线","11"
"CO","请求/回答信号","请求_回答信号","1"
"CO","时钟频率","主频","6"
"CO","数据传输率","数据传输速率","7"
"CO","突发传送","突发传输","7"
"CO","虚拟存储","虚拟存储器","6"
"CO","中断I/O","中断I_O","5"
"CO","组相联","组相联映射","7"
"CO","Cache地址映射","Cache映射","3"
"CO","DMA","DMA方式","7"
"CO","DMA传送","DMA方式","5"
"CO","Flynn分类","Flynn分类法","3"
"CO","I/O编址","I_O编址","4"
"CO","I/O编址方式","I_O编址方式","3"
"CO","I/O传输","I_O传输","1"
"CO","I/O端口","I_O端口","4"
"CO","I/O方式","I_O控制方式","5"
"CO","I/O接口","I_O接口","11"
"CO","I/O控制方式","I_O控制方式","6"
"CO","I/O设备","I_O设备","1"
"CO","I/O指令","I_O指令","3"
"CO","I/O总线","I_O总线","2"
"CO","IEEE 754浮点数","IEEE754","3"
"CO","IF/ID寄存器","IF_ID寄存器","1"
"CO","Load/Store指令","Load_Store指令","1"
"CO","LRU算法","LRU替换","3"
"CO","MAR/MDR位数","MAR_MDR位数","1"
"CO","RAS/CAS信号","RAS_CAS信号","1"
"CO","RISC/CISC","RISC_CISC","1"
"CO","SRAM/DRAM","SRAM_DRAM","1"
"CO","UMA/NUMA","UMA_NUMA","1"
"DS","磁盘I/O","磁盘I_O","5"
"DS","广度优先","广度优先搜索","3"
"DS","广度优先遍历","广度优先搜索","6"
"DS","活动最早/最迟开始时间","活动最早_最迟开始时间","1"
"DS","结点度","结点度数","3"
"DS","结点计数","结点数","5"
"DS","结点数计算","结点数","9"
"DS","列优先","列优先存储","3"
"DS","森林转二叉树","森林与二叉树转换","7"
"DS","森林转换","森林与二叉树转换","11"
"DS","深度优先","深度优先搜索","3"
"DS","深度优先遍历","深度优先搜索","8"
"DS","时间复杂度分析","时间复杂度","3"
"DS","事件最早/最迟发生时间","事件最早_最迟发生时间","1"
"DS","双向链表","双链表","3"
"DS","稳定性","排序稳定性","13"
"DS","线性探测法","线性探测","8"
"DS","行优先","行优先存储","8"
"DS","选择排序","简单选择排序","6"
"DS","叶子结点","叶结点","7"
"DS","左孩子右兄弟","孩子兄弟表示法","12"
"DS","BFS","广度优先搜索","1"
"DS","DFS","深度优先搜索","2"
"DS","DFS遍历","深度优先搜索","3"
"DS","LL/LR/RR/RL失衡","LL_LR_RR_RL失衡","1"
"DS","WPL","带权路径长度","1"
"DS","WPL计算","带权路径长度","3"
"OS","磁盘调度","磁盘调度算法","11"
"OS","磁盘I/O","磁盘I_O","5"
"OS","磁盘I/O次数","磁盘I_O次数","2"
"OS","磁盘I/O时间组成","磁盘I_O时间组成","1"
"OS","地址变换","地址转换","10"
"OS","地址映射","地址转换","8"
"OS","段式存储管理","分段存储管理","8"
"OS","减少磁盘I/O次数","减少磁盘I_O次数","1"
"OS","进程调度","OS/进程与线程/CPU调度","28"
"OS","进程调度算法","OS/进程与线程/CPU调度","7"
"OS","进程控制块PCB","进程控制块","3"
"OS","内存管理","OS/内存管理/内存管理概念","10"
"OS","设备独立性","OS/输入-输出管理/设备独立性软件","8"
"OS","设备独立性软件","OS/输入-输出管理/设备独立性软件","3"
"OS","设备驱动","设备驱动程序","3"
"OS","双缓冲","双缓冲区","3"
"OS","死锁","OS/进程与线程/死锁","3"
"OS","索引节点","索引结点","8"
"OS","同步与互斥","OS/进程与线程/同步与互斥","14"
"OS","虚拟存储","OS/内存管理/虚拟内存管理","3"
"OS","虚拟存储技术","OS/内存管理/虚拟内存管理","4"
"OS","虚拟存储器","OS/内存管理/虚拟内存管理","6"
"OS","页面置换算法","页面置换","10"
"OS","页式存储管理","分页存储管理","15"
"OS","页式虚拟存储","页式虚拟存储管理","4"
"OS","异步I/O","异步I_O","1"
"OS","用户态内核态","用户态与内核态","3"
"OS","中断驱动I/O","中断驱动I_O","3"
"OS","阻塞式I/O","阻塞式I_O","1"
"OS","C/S模式","C_S模式","1"
"OS","CPU与I/O并行","CPU与I_O并行","1"
"OS","CPU与I/O速度匹配","CPU与I_O速度匹配","1"
"OS","CPU与I/O重叠","CPU与I_O重叠","1"
"OS","DMA","DMA方式","3"
"OS","FCB","文件控制块","3"
"OS","FIFO","FIFO页面置换算法","2"
